symbol,price
ETHBTC,0.03315
LTCBTC,0.000785
BNBBTC,0.010024
NEOBTC,4.044e-05
QTUMETH,0.000437
EOSETH,0.0003067
SNTETH,1.7e-05
BNTETH,0.0002026
BCCBTC,0.0
GASBTC,2.25e-05
BNBETH,0.3023
BTCUSDT,88189.86
ETHUSDT,2923.88
HSRBTC,0.0
OAXETH,0.0
DNTETH,0.0
MCOETH,0.0
ICNETH,0.0
MCOBTC,0.0
WTCBTC,2.4e-07
WTCETH,0.0
LRCBTC,5.3e-07
LRCETH,1.675e-05
QTUMBTC,1.628e-05
YOYOBTC,0.0
OMGBTC,3.08e-05
OMGETH,0.000791
ZRXBTC,1.54e-06
ZRXETH,9.94e-05
STRATBTC,0.0
STRATETH,0.0
SNGLSBTC,0.0
SNGLSETH,0.0
BQXBTC,0.0
BQXETH,0.0
KNCBTC,2.41e-06
KNCETH,0.0003941
FUNBTC,0.0
FUNETH,1.46e-06
SNMBTC,5.7e-07
SNMETH,0.0
NEOETH,0.004775
IOTABTC,9.7e-07
IOTAETH,3.346e-05
LINKBTC,0.0001355
LINKETH,0.004088
XVGBTC,0.0
XVGETH,2.47e-06
SALTBTC,0.0
SALTETH,0.0
MDABTC,0.0
MDAETH,0.0
MTLBTC,4.09e-06
MTLETH,0.0006834
SUBBTC,0.0
SUBETH,0.0
EOSBTC,7.16e-06
SNTBTC,3.2e-07
ETCETH,0.00387
ETCBTC,0.0001279
MTHBTC,0.0
MTHETH,0.0
ENGBTC,0.0
ENGETH,0.0
DNTBTC,1.86e-06
ZECBTC,0.004312
ZECETH,0.13046
BNTBTC,7.94e-06
ASTBTC,1.24e-06
ASTETH,0.0
DASHBTC,0.0007364
DASHETH,0.02084
OAXBTC,3.8e-07
ICNBTC,0.0
BTGBTC,0.000913
BTGETH,0.0
EVXBTC,0.0
EVXETH,0.0
REQBTC,1.22e-06
REQETH,0.0
VIBBTC,5.1e-07
VIBETH,3.45e-05
HSRETH,0.0
TRXBTC,3.35e-06
